No.,Tags,Human_question,Ground_truth,Evidence,Source,,
11,ภัยพิบัติตามธรรมชาติ,น้ำในลำห้วยเปลี่ยนเป็นสีแดงขุ่น มีเสียงดังจากภูเขา,อันตรายมาก! รีบวิ่งขึ้นที่สูงพ้นทางน้ำ ทิ้งของมีค่าไปเลย แล้วกดเตือนภัยดินถล่มในแอปพ้นภัยให้คนในพื้นที่รู้ด่วนครับ,"""ระดับน้ำในลำห้วยเพิ่มสูงขึ้น... มีสีขุ่นข้น... มีเสียงดังผิดปกติ... ให้หนีไปตามเส้นทางที่พ้นจากแนวการไหลของดิน""",หน้า 22,,
12,ภัยพิบัติตามธรรมชาติ,หนีดินถล่มแต่ต้องข้ามน้ำเชี่ยว ว่ายข้ามไปเลยได้ไหม?,ห้ามว่ายน้ำข้ามเด็ดขาด ซากไม้จะกระแทกได้ ให้ใช้เชือกผูกตัวยึดต้นไม้ใหญ่ไว้ แล้วส่งพิกัดแจ้งติดค้างผ่านแอปพ้นภัยครับ,"""ใช้เชือกผูกลำตัวแล้วยึดติดไว้กับต้นไม้... ห้ามว่ายน้ำหนีโดยเด็ดขาด เพราะอาจกระแทกกับซากต้นไม้""",หน้า 23,,
13,ภัยพิบัติตามธรรมชาติ,ดินถล่มหยุดแล้ว กลับเข้าบ้านไปเอาของมีค่าได้ไหม?,ห้ามกลับเข้าบ้านเด็ดขาด ดินอาจถล่มซ้ำลงมาได้ทุกเมื่อ แจ้งขอที่พักพิงชั่วคราวผ่านแอปพ้นภัยแล้วรอเจ้าหน้าที่ประเมินครับ,"""ห้ามเข้าใกล้บริเวณที่เกิดดินถล่มหรือบ้านเรือนที่ได้รับความเสียหาย เพื่อป้องกันอันตรายจากการพังทลายซ้ำ""",หน้า 23,,
14,ภัยพิบัติตามธรรมชาติ,ไปเที่ยวน้ำตก มีซากไม้เล็กๆ ไหลมากับน้ำ,รีบขึ้นจากน้ำทันที หนีขึ้นที่สูงให้เร็วที่สุด ห้ามห่วงเล่นน้ำต่อ แล้วกดแจ้งภัยในแอปพ้นภัยหรือแจ้งเจ้าหน้าที่อุทยานครับ,"""มีต้นไม้ขนาดเล็กไหลมาพร้อมกับน้ำ... ให้หนีไปตามเส้นทางที่พ้นจากแนวการไหลของดินถล่ม""",หน้า 22,,
15,ภัยพิบัติตามธรรมชาติ,แผ่นดินไหวแรงมาก ตอนนี้อยู่ชั้น 3 ต้องวิ่งลงมาไหม?,ห้ามวิ่งลงมาตอนสั่น ให้หมอบใต้โต๊ะแข็งแรง เอามือป้องหัว ห่างจากกระจก รอจนสั่นหยุดค่อยลงมาและห้ามใช้ลิฟต์ครับ,"""หมอบบริเวณใต้โต๊ะหรือเก้าอี้ที่แข็งแรง... ห้ามวิ่งหนีออกจากอาคาร โดยใช้ลิฟต์""",หน้า 25-26,,
16,ภัยพิบัติตามธรรมชาติ,ขับรถอยู่แล้วแผ่นดินไหว รถส่ายไปมาเหมือนยางแตก,ชะลอจอดริมทางทันที ห้ามจอดใต้สะพาน ทางด่วน หรือป้ายโฆษณา สามารถเช็คข่าวแผ่นดินไหวเพิ่มเติมในแอปพ้นภัยครับ,"""ให้หยุดรถและหาที่จอดรถในบริเวณที่ปลอดภัย... ห้ามหยุดรถบริเวณบนและใต้สะพาน ป้ายโฆษณา""",หน้า 26,,
17,ภัยพิบัติตามธรรมชาติ,แผ่นดินไหวสงบแล้ว รีบกลับเข้าตึกไปหยิบกระเป๋าตังค์ดีไหม?,ห้ามกลับเข้าตึกเด็ดขาด ตึกอาจร้าวและพังถล่มซ้ำจากอาฟเตอร์ช็อกได้ ให้อยู่ที่จุดรวมพลครับ,"""เมื่อแผ่นดินไหวยุติ... ไม่กลับเข้าไปในอาคาร เพราะหากเกิดการสั่นไหวซ้ำอีก อาคารอาจพังถล่ม""",หน้า 27,,
18,ภัยพิบัติตามธรรมชาติ,อยู่บ้านช่วงแผ่นดินไหว มีกลิ่นแก๊สรั่ว ต้องทำไง?,รีบปิดวาล์วแก๊ส สับคัทเอาท์ไฟ และห้ามจุดไม้ขีดหรือไฟแช็กเด็ดขาด ถ้าเกิดไฟไหม้โทร 199 หรือกดแอปพ้นภัยด่วนครับ,"""รีบปิดวาล์วถังก๊าซ ท่อแก๊ส ตัดกระแสไฟฟ้า... ห้ามจุดไม้ขีดไฟ""",หน้า 26,,
19,ภัยพิบัติตามธรรมชาติ,น้ำทะเลลดระดับลงอย่างรวดเร็วจนปลาติดบนหาดทราย,วิ่งหนีขึ้นที่สูงเกิน 15 เมตร หรือขึ้นตึกสูงทันที ห้ามลงไปดูเด็ดขาด กดปุ่มเตือนภัยสึนามิในแอปพ้นภัยเพื่อเตือนคนอื่นด่วนครับ,"""สังเกตเห็นน้ำทะเลลดระดับลงอย่างรวดเร็ว ให้รีบหนีขึ้นที่สูง (สูงกว่าระดับน้ำทะเลมากกว่า 15 เมตร)""",หน้า 29,,
20,ภัยพิบัติตามธรรมชาติ,คลื่นสึนามิลูกแรกพัดไปแล้ว กลับลงไปดูร้านค้าที่ชายหาดได้ไหม?,ห้ามลงหาดเด็ดขาด คลื่นสึนามิจะมาอีกหลายระลอกและอาจใหญ่กว่าเดิม รอประกาศยกเลิกเตือนภัยผ่านแอปพ้นภัยเท่านั้นครับ,"""ห้ามลงไปบริเวณชายหาดในทันที เพราะสึนามิประกอบด้วยคลื่นหลายระลอก""",หน้า 30,,
21,ภัยพิบัติตามธรรมชาติ,อยู่บนเรือประมงกลางทะเล มีประกาศเตือนสึนามิ ต้องทำไง?,ขับเรือออกไปกลางทะเลให้ลึกที่สุด ห้ามกลับเข้าฝั่งเด็ดขาด เพราะกลางทะเลคลื่นจะไม่สูงครับ,"""กรณีอยู่ในทะเล ให้นำเรือออกไปกลางทะเลลึก... ไม่นำเรือกลับเข้าฝั่ง""",หน้า 30,,
22,ภัยพิบัติตามธรรมชาติ,ลมพายุแรงมาก หลังคาบ้านสังกะสีปลิว ซ่อนตรงไหนดี?,หลบในห้องที่ก่ออิฐปูนแข็งแรง ปิดหน้าต่างให้สนิท ห้ามหลบใต้ต้นไม้ใหญ่ ถ่ายรูปแจ้งบ้านพังและขอที่พักพิงในแอปพ้นภัยได้ครับ,"""หลบในอาคารที่มั่นคงแข็งแรง ปิดประตูหน้าต่างให้สนิท... ไม่หลบพายุใต้ต้นไม้""",หน้า 32,,
23,ภัยพิบัติตามธรรมชาติ,พายุพัดเสาไฟล้ม สายไฟขาดพาดอยู่บนถนนขวางทางเข้าบ้าน,ห้ามเดินเข้าใกล้และห้ามเอาไม้ไปเขี่ยเองเด็ดขาด ไฟอาจดูดได้ ส่งพิกัดแจ้งอันตรายในแอปพ้นภัยหรือโทร 1130 ทันทีครับ,"""ห้ามเข้าใกล้บริเวณที่สายไฟฟ้าขาด ไม่ใช้ไม้หรือวัสดุอื่นๆ เขี่ยหรือจับสายไฟฟ้า""",หน้า 33,,
24,ภัยพิบัติตามธรรมชาติ,ต้นไม้ล้มทับรถ สายไฟขาดพาดอยู่บนหลังคารถ ออกจากรถไม่ได้,นั่งอยู่ในรถ ห้ามลงเด็ดขาดจนกว่าช่างจะมาตัดไฟ บีบแตรเรียกคนช่วยโทร 1130 (ถ้าไฟลุกต้องกระโดดเท้าคู่ ห้ามแตะรถกับพื้นพร้อมกัน),"""ห้ามลงจากรถจนกว่าจะแน่ใจว่ากระแสไฟฟ้าถูกตัดแล้ว... ลงจากรถโดยไม่ให้อวัยวะส่วนใดสัมผัสกับพื้นและตัวรถพร้อมกัน""",หน้า 33,,
25,ภัยพิบัติตามธรรมชาติ,อยู่กลางทุ่งนา เกิดพายุฝนฟ้าคะนอง ไม่มีที่หลบเลย ทำยังไง?,นั่งยองๆ เขย่งปลายเท้า ส้นเท้าชิดกัน ก้มหัวซุกเข่า เอามืออุดหู และปิดมือถือด่วนครับ,"""นั่งยองๆ แบบเขย่งปลายเท้า ให้ส้นเท้าลอยขึ้น... โดยให้ส้นเท้าทั้งสองข้างสัมผัสกัน""",หน้า 34-35,,
26,ภัยพิบัติตามธรรมชาติ,ฝนตกหนัก ฟ้าร้องดังมาก หลบฝนใต้ต้นไม้ใหญ่ได้ไหม?,ห้ามหลบใต้ต้นไม้เดี่ยวๆ เด็ดขาด ฟ้าจะผ่าลงมาได้ ให้อยู่ห่างลำต้นอย่างน้อย 2 เมตรครับ,"""ไม่หลบใต้ต้นไม้ที่อยู่โดดเด่นเพียงต้นเดียว... และอยู่ให้ห่างจากลำต้น อย่างน้อย 2 เมตร""",หน้า 38,,
27,ภัยพิบัติตามธรรมชาติ,ฟ้าผ่าลงมาใกล้ๆ ตัว วิ่งเข้าไปหลบในรถดีไหม?,เข้าไปหลบในรถปลอดภัยสุดครับ ปิดกระจกให้สนิท ห้ามแตะโครงเหล็กในรถ และห้ามวิ่งหนีออกจากรถตอนฟ้าร้อง,"""ห้องโดยสารรถ จึงถือเป็นพื้นที่ที่ปลอดภัยที่สุด... ถ้าฟ้าผ่าลงมาบริเวณรอบๆ รถ ห้ามวิ่งหนีออกจากรถ""",หน้า 38,,
28,ภัยพิบัติตามธรรมชาติ,ฝนฟ้าคะนอง ฟ้าร้องดัง อาบน้ำหรือดูทีวีในบ้านได้ไหม?,ถอดปลั๊กทีวีและเครื่องใช้ไฟฟ้าด่วน งดเล่นเน็ต งดอาบน้ำล้างจานชั่วคราว เพราะกระแสไฟอาจวิ่งตามสายไฟหรือท่อน้ำได้ครับ,"""งดใช้เครื่องใช้ไฟฟ้าและอุปกรณ์อิเล็กทรอนิกส์... รวมถึง ห้ามอาบน้ำ สระผม ล้างจาน""",หน้า 36,,
29,ภัยพิบัติตามธรรมชาติ,ถือร่มปลายแหลมเดินฝ่าฝนฟ้าคะนองได้ไหม?,ห้ามกางร่มปลายแหลมโลหะ และถอดเครื่องประดับโลหะออกทันที เพราะเป็นสื่อล่อฟ้าชั้นดีครับ,"""หลีกเลี่ยงการพกพาหรือสวมใส่สิ่งของที่เป็นสื่อนำไฟฟ้า... ไม่กางร่มที่มีปลายแหลมเป็นโลหะ""",หน้า 34,,
30,ภัยพิบัติตามธรรมชาติ,เห็นคนถูกฟ้าผ่าล้มลงไป เข้าไปจับตัวเขาไฟจะดูดเราไหม?,จับตัวได้เลยครับ ไม่มีกระแสไฟดูดค้าง รีบเช็คว่าหายใจไหม ถ้าไม่หายใจให้ปั๊มหัวใจ (CPR) แล้วกดแอปพ้นภัยเรียกรถกู้ชีพด่วนครับ,"""ผู้ถูกฟ้าผ่าจะไม่มีกระแสไฟฟ้าหลงเหลืออยู่ในตัว จึงสามารถเข้าไปช่วยเหลือได้ทันที""",หน้า 39,,
31,ภัยพิบัติตามธรรมชาติ,บ้านอยู่ริมคลอง น้ำขึ้นสูงทุกปีจนมิดบันไดขั้นแรก ทำอย่างไรดี?,เสริมแนวกระสอบทราย ยกของขึ้นที่สูง ตัดต่อปลั๊กไฟให้ลอยขึ้น ขอรับกระสอบทรายหรือเรือท้องแบนผ่านแอปพ้นภัยได้ครับ,"""นำกระสอบทรายมาเสริมแนวคันกั้นน้ำให้สูงขึ้น... ขนย้ายทรัพย์สินสิ่งของมีค่าและเครื่องใช้ไฟฟ้าขึ้นที่สูง""",หน้า 10-11,,
32,ภัยพิบัติตามธรรมชาติ,จะนั่งเรือหางยาวอพยพช่วงน้ำหลาก ต้องระวังอะไร?,ใส่ชูชีพทุกคน นั่งกระจายน้ำหนักให้สมดุล ห้ามลุกยืนบนเรือเด็ดขาด หากเรือล่มเกาะของลอยน้ำแล้วกดขอความช่วยเหลือในแอปพ้นภัยครับ,"""ให้สวมใส่อุปกรณ์ชูชีพ หรือนำอุปกรณ์ที่สามารถลอยน้ำได้ติดไว้ในเรือ""",หน้า 16,,
33,ภัยพิบัติตามธรรมชาติ,หน้าแล้ง อากาศแห้งจัด จุดไฟเผาขยะหลังบ้านได้ไหม?,ดับไฟเลยครับ อากาศแห้งลมแรง ลูกไฟอาจปลิวไปติดหลังคาบ้านคนอื่นได้ หากไฟลุกลามกดแอปพ้นภัยแจ้งดับเพลิงด่วนครับ,"""ระมัดระวังการจุดไฟ ก่อกองไฟ... หรือการเผาขยะ... เพราะอาจทำให้เกิดไฟป่าได้ง่าย""",หน้า (อัคคีภัย),,
34,ภัยพิบัติตามธรรมชาติ,หลังพายุไต้ฝุ่นเข้า กระจกบ้านแตกหมดเลย ทำไงต่อ?,ใส่รองเท้าผ้าใบหรือรองเท้าพื้นหนาทันทีกันเศษกระจกบาดเท้า แล้วแจ้งขอวัสดุซ่อมแซมบ้านผ่านแอปพ้นภัยครับ,"""สวมรองเท้าที่มิดชิดเพื่อป้องกันการเหยียบเศษวัสดุหรือของมีคม... ตรวจสอบความเสียหายของบ้านเรือน""",หน้า 33,,
35,ภัยพิบัติตามธรรมชาติ,เกิดแผ่นดินไหวตอนกลางคืน ไฟดับหมด มองไม่เห็นทางเลย,ใช้ไฟฉายส่องทาง ห้ามจุดเทียนหรือไฟแช็กเด็ดขาดเพราะแก๊สอาจรั่วอยู่ หมอบใต้โต๊ะรอจนสั่นหยุดค่อยอพยพครับ,"""ห้ามจุดไม้ขีดไฟ เทียนไข หรือทำให้เกิดประกายไฟ เพราะหากมีก๊าซรั่วไหล จะทำให้เกิดเพลิงไหม้""",หน้า 26,,
36,ภัยจากโรคระบาด,ไก่ในฟาร์มตายพร้อมกันหลายตัวโดยไม่ทราบสาเหตุ เอามาต้มกินได้ไหม?,ห้ามกินและห้ามจับด้วยมือเปล่าเด็ดขาด รีบโทรแจ้งปศุสัตว์อำเภอ หรือ 1555 ทันทีครับ,"""ห้ามสัมผัสจับซากสัตว์ปีก... ห้ามนำสัตว์ปีกป่วยมาประกอบอาหาร""",หน้า 116-117,,
37,ภัยจากโรคระบาด,วิธีกำจัดซากไก่ที่ตายจากหวัดนก โยนทิ้งลงแม่น้ำหลังบ้านได้ไหม?,ห้ามโยนลงน้ำเด็ดขาด เชื้อจะกระจายไปหมู่บ้านอื่น ให้ขุดหลุมฝังลึก 50 ซม. ราดน้ำยาฆ่าเชื้อแล้วกลบครับ,"""ในการทำลายสัตว์ปีกให้เผาหรือฝัง โดยการขุดหลุมลึกไม่น้อยกว่า 50 เซนติเมตร... ไม่ทิ้งสัตว์ปีกป่วย... ลงในแหล่งน้ำ""",หน้า 116-117,,
38,ภัยจากโรคระบาด,โรคไข้หวัดนกติดต่อสู่คนได้ทางไหนบ้าง?,ติดจากการสัมผัสน้ำลาย น้ำมูก หรือมูลไก่ที่ป่วย แล้วเผลอเอามือมาขยี้ตาหรือหยิบของกินเข้าปากครับ,"""เกิดจากการสัมผัสสารคัดหลั่งของสัตว์ปีกที่ป่วย... เชื้อจะเข้าสู่ร่างกายทางเยื่อบุจมูกและตา""",หน้า 115,,
39,ภัยจากโรคระบาด,คนงานฟาร์มเป็ดไก่ ต้องป้องกันตัวจากหวัดนกยังไง?,ใส่หน้ากาก ถุงมือยาง รองเท้าบู๊ต ทำงานเสร็จต้องถอดชุดแช่ยาฆ่าเชื้อ และอาบน้ำสระผมทันทีครับ,"""ใช้อุปกรณ์ป้องกันร่างกาย เช่น ผ้ากันเปื้อน ผ้าปิดปากและจมูก... หลังการปฏิบัติงานต้องล้างมือ อาบน้ำ สระผม""",หน้า 116,,
40,ภัยจากโรคระบาด,อาการของคนป่วยติดเชื้อไข้หวัดนกเป็นยังไง?,ไข้สูง ปวดกล้ามเนื้อ ไอ หอบเหนื่อย หายใจลำบาก หากมีอาการและเพิ่งสัมผัสไก่ตายต้องรีบไปโรงพยาบาลด่วนครับ,"""มีไข้ร่วมกับอาการอย่างใดอย่างหนึ่ง ได้แก่ ปวดกล้ามเนื้อ ไอ หายใจผิดปกติ และมีประวัติการสัมผัสโดยตรงกับสัตว์ปีกที่ป่วย""",หน้า 116,,
41,ภัยจากโรคระบาด,ทำฟาร์มไก่ จะจัดการระบบฟาร์มป้องกันหวัดนกยังไง?,ขึงตาข่ายกันนกธรรมชาติเข้ามากินอาหาร ห้ามคนนอกและรถเข้าฟาร์ม ถ้ารถเข้าต้องฉีดพ่นยาฆ่าเชื้อครับ,"""ทำโรงเรือนแบบเปิดเพื่อรักษาความสะอาด... มีตาข่ายกั้นป้องกันนกธรรมชาติ... ห้ามนำยานพาหนะเข้ามาในฟาร์ม""",หน้า 117,,
42,ภัยจากโรคระบาด,มีไข้สูง ปวดหัว ปวดกล้ามเนื้อ ไอ กลัวเป็นไข้หวัดใหญ่ H1N1,ใส่หน้ากากอนามัยทันที แยกแก้วแยกชาม ล้างมือบ่อยๆ แล้วไปโรงพยาบาลเพื่อรับยาต้านไวรัสแต่เนิ่นๆ ครับ,"""มีไข้ ปวดศีรษะ ปวดเมื่อยกล้ามเนื้อ อ่อนเพลีย ไอ... สวมหน้ากากอนามัยเมื่ออยู่กับผู้อื่น""",หน้า 119-120,,
43,ภัยจากโรคระบาด,โรคไข้หวัดใหญ่สายพันธุ์ใหม่ ติดต่อทางไหนได้บ้าง?,ติดทางอากาศเวลาคนป่วยไอจามรดกัน หรือเอามือไปจับสิ่งของที่มีเชื้อแล้วมาจับหน้าจับตาตัวเองครับ,"""ติดต่อโดยการไอ จาม รดกัน... เชื้อจะเข้าสู่ร่างกายทางเยื่อบุจมูกและตา""",หน้า 119,,
44,ภัยจากโรคระบาด,ติดเชื้อ H1N1 แล้ว อาการไม่หนัก ไปทำงานหรือไปโรงเรียนได้ไหม?,ห้ามไปครับ ต้องหยุดเรียนหรือหยุดทำงาน 1-7 วัน เพื่อรับผิดชอบต่อส่วนรวมไม่เอาเชื้อไปติดคนอื่นครับ,"""หากป่วยเป็นไข้หวัดใหญ่ ควรหยุดงาน หยุดเรียน เป็นเวลา 1-7 วัน""",หน้า 120,,
45,ภัยจากโรคระบาด,เป็นไข้หวัดใหญ่ แต่ลืมหยิบหน้ากากมา จามใส่มือตัวเองได้ไหม?,ไม่ควรจามรดมือ ให้จามใส่กระดาษทิชชูแล้วทิ้ง หรือก้มจามใส่ข้อพับแขนหรือต้นแขนเสื้อของตัวเองแทนครับ,"""กรณีที่ไม่สามารถปฏิบัติได้ (ไม่มีทิชชู) ควรไอหรือจามลงบนเสื้อผ้าบริเวณต้นแขน""",หน้า 120,,
46,ภัยจากโรคระบาด,ใครคือกลุ่มเสี่ยงที่ถ้าติดไข้หวัดใหญ่แล้วจะป่วยหนัก?,เด็กเล็ก ผู้สูงอายุ คนท้อง และคนมีโรคประจำตัว (เช่น หอบหืด หัวใจ) กลุ่มนี้ป่วยปุ๊บต้องรีบพาไปหาหมอด่วนครับ,"""กลุ่มเสี่ยงที่มีโอกาสเกิดภาวะแทรกซ้อนรุนแรง... ควรไปพบแพทย์ทันที""",หน้า 120,,
47,ภัยจากโรคระบาด,อยากป้องกันตัวเองจากไข้หวัดใหญ่ ต้องทำยังไงในชีวิตประจำวัน?,ล้างมือด้วยสบู่บ่อยๆ ไม่ใช้แก้วน้ำหรือหลอดดูดร่วมกับผู้อื่น เลี่ยงที่แออัด และรักษาสุขภาพให้แข็งแรงครับ,"""ล้างมือบ่อยๆ ด้วยน้ำและสบู่... ไม่ใช้สิ่งของเครื่องใช้ส่วนตัวร่วมกับผู้อื่น เช่น แก้วน้ำ ช้อน หลอดดูดน้ำ""",หน้า 120,,
48,ภัยจากโรคระบาด,ลูกอายุ 3 ขวบ มีตุ่มใสที่มือ ฝ่าเท้า และในปาก ร้องงอแงไม่ยอมกินข้าว,ลูกอาจเป็นโรคมือเท้าปาก ให้หยุดเรียนทันที แยกตัวออกจากเด็กคนอื่น ป้อนอาหารอ่อนๆ แล้วรีบพาไปหาหมอครับ,"""พบตุ่มหรือผื่นนูนสีแดงเล็ก... ที่ฝ่ามือ นิ้วมือ ฝ่าเท้า... ตุ่มนี้จะกลายเป็นตุ่มพองใส บริเวณรอบๆ อักเสบ แดง""",หน้า 122,,
49,ภัยจากโรคระบาด,โรคมือ เท้า ปาก ติดต่อกันได้อย่างไร?,เด็กติดจากการสัมผัสน้ำมูก น้ำลาย น้ำจากตุ่มพอง หรือจับของเล่นที่เปื้อนอุจจาระของผู้ป่วยแล้วเอาเข้าปากครับ,"""การติดต่อเกิดจากการสัมผัสโดยตรงกับน้ำมูก น้ำลาย... หรือของเหลวจากตุ่มพอง... หรืออุจจาระของผู้ป่วย""",หน้า 122,,
50,ภัยจากโรคระบาด,มีเด็กในศูนย์เด็กเล็กเป็นโรคมือเท้าปากหลายคน ครูต้องทำยังไง?,สั่งปิดโรงเรียน 5-7 วันทันที คัดกรองเด็กตอนเช้าทุกวัน และแจ้งหน่วยงานสาธารณสุขเข้ามาควบคุมโรคด่วนครับ,"""ปิดห้องเรียนที่มีเด็กป่วย หรือปิดทั้งโรงเรียนชั่วคราว (ประมาณ 5-7 วัน)... มีการตรวจคัดกรองเด็กทุกวัน""",หน้า 123,,
51,ภัยจากโรคระบาด,ต้องล้างทำความสะอาดโรงเรียนหลังโรคมือเท้าปากระบาด ใช้น้ำยาอะไร?,ใช้น้ำยาซักผ้าขาว (เจือจาง) เช็ดถูพื้นและของเล่น จากนั้นนำของเล่นทั้งหมดไปซักล้างและผึ่งแดดจัดๆ ให้แห้งครับ,"""ใช้สารละลายเจือจางของน้ำยาฟอกขาว (20 มิลลิลิตร ต่อน้ำ 1 ลิตร)... ทำความสะอาดของเล่น เครื่องใช้ของเด็กด้วยการซักล้างแล้วผึ่งแดด""",หน้า 123,,
52,ภัยจากโรคระบาด,เด็กที่เป็นโรคมือเท้าปากไปแล้ว มีโอกาสเป็นซ้ำอีกไหม?,เป็นซ้ำได้ครับ เพราะไวรัสมีหลายสายพันธุ์ ร่างกายจะจำแค่สายพันธุ์เดิมที่เคยเป็น จึงต้องป้องกันตลอดเวลา,"""โรคนี้สามารถเป็นซ้ำได้อีก หากได้รับเชื้อไวรัสสายพันธุ์ที่ต่างจากเดิม""",หน้า (ประยุกต์ความรู้ HFMD),,
